role,offset_seconds,FCV-501D_ACT,PIT-501D,PIT-516D,PIT-517D,PIT-518D,PIT-519D,PIT-521D,PIT-523D,PIT-529D,PIT-530D,PIT-532D,PIT-562D,PIT-591D,PT-502D,PT-503D,PT-525D,TE-504D,TE-506D,TE-507D-A,TE-508D,TE-509D,TE-514D-A,TE-515D-A,TE-516D,TE-517D,TE-521D,TE-522D,TE-523D,TE-524D,TE-525D,TE-526D,TE-529D,TE-530D-A,TE-531D-A,TE-532D,TE-533D,TE-534D,TE-535D,TE-536D,TE-537D,TE-538D,TE-539D,TE-540D,TE-541D,TE-542D,TE-543D,TE-544D,TE-545D,TE-546D,TE-547D,TE-548D,TE-549D,TE-550D,TIT-501D,TIT-505D,TIT-561D,VE-503D,VE-504D,VE-505D,VE-506D,VT-501D,VT-502D,XT-503D-X,XT-503D-Y,XT-504D-X,XT-504D-Y,XT-505D-X,XT-505D-Y,XT-506D-X,XT-506D-Y,XT-507D-X,XT-507D-Y,XT-508D-X,XT-508D-Y,ZT-502D-B,ZT-503D-A,ZT-503D-B,ZT-504D-B,ZY-503D
normal,0,0.09336454,39.4159241,41.0752373,14.2067661,1.83077335,2.02023745,0.993241668,3.08995438,4.399914,5.01973,62.0715866,6.94893837,-0.001413235,14.63891,14.6276264,14.445363,37.9629326,31.4124,426.501465,713.5051,484.798767,79.79458,72.0,253.283661,262.01123,69.19036,84.36835,94.9292145,113.06324,105.467926,74.7914047,31.05657,63.0,62.0,45.91211,45.9966621,44.7945824,45.9757957,45.9811363,45.7945824,46.47551,46.7110367,46.0,72.0,74.0,78.79458,76.0,77.79458,77.0,81.0,83.79458,80.79458,83.79458,53.9109,60.90532,57.86034,0.678253651,1.23971009,2.79627872,3.81057525,60.31558,5.47880554,34.0321045,59.37366,27.4632587,37.9649277,30.40593,21.0258636,13.6805573,13.767499,8.439675,9.48559952,6.249623,9.437153,0,30.4594383,31.0598927,0.021454161,30.5062542
normal,600,44.31164,40.79492,20.0160141,16.5951958,1.910074,2.102871,0.993093,3.212281,4.45199966,5.01322746,62.0715981,6.93122,-0.001457643,41.35445,21.2888641,15.0455418,49.8224869,31.613533,432.883545,712.712158,480.0972,82.0,73.0,281.1067,276.677979,70.2363052,87.5992,96.69347,116.580215,109.733505,78.59936,31.22737,66.0,65.0,49.6237679,49.9263458,48.0,49.7828445,49.779026,49.77918,50.5435333,50.7304039,50.0,76.0,77.0,82.0,79.0,81.0,80.0,84.0,86.0,83.0,86.0,61.30524,82.40495,60.6228142,0.678253651,1.28101,3.21677876,4.12829971,72.81721,4.97139072,36.8786278,65.87741,29.1598644,39.8237877,28.87927,19.690752,14.2168865,13.392683,8.30578,9.398658,6.260321,9.759181,0,28.23092,29.04987,0.020294735,28.4740772
normal,1200,44.79836,40.9143257,20.4031544,16.9042664,1.95256722,2.14440513,0.9928275,3.25598168,4.473219,5.108854,62.1955147,6.92840242,-0.001423326,41.4564438,21.66577,15.2824926,50.2412567,31.5010376,435.3884,716.3684,481.516327,83.0,74.0,294.79068,285.1648,70.15344,87.92237,96.85963,116.99411,110.621536,79.26244,31.3835754,67.0,66.0,52.0416,52.3975372,50.0,52.2692146,52.2671661,52.0,53.11093,53.2558365,53.0,76.74422,77.0,82.0,80.0,81.0,81.0,84.0,86.0,83.0,86.0,61.6883736,91.43991,63.2457962,0.775147,1.3565073,2.8558867,5.31104326,71.103,5.3839817,36.7440147,66.87106,29.7192421,40.5983238,27.96389,18.458189,14.1745787,12.7178164,8.284384,9.145153,6.503127,9.85834,0,27.48981,28.2312469,0.027651027,27.6435661
normal,1800,40.8265038,41.1184,17.9968681,15.0368719,1.72417569,1.896201,0.9944335,2.97436213,4.39154434,4.971265,61.89935,6.99879456,-0.001373708,41.74033,19.2276,13.9024544,48.9237251,31.1840172,416.78894,673.462952,471.052032,82.0,74.0,298.06897,294.693756,70.0739059,87.33634,96.04655,116.209366,108.918617,79.1106949,31.4164238,67.0,67.0,52.6591835,53.0718765,51.0,53.0097,52.9473343,52.2016258,53.90676,54.0227928,53.2016258,77.0,77.0,81.0,79.0,81.0,80.0,83.0,85.0,83.0,85.0,61.38141,94.30173,62.43739,0.678253651,1.3565073,1.94063389,5.322983,65.66401,5.20565557,36.44168,67.96952,30.6472168,41.111702,28.5257244,18.332386,15.4537058,12.58637,8.439492,9.912035,7.25723553,10.6000566,0,31.8360233,32.614727,0.021270338,31.97829
normal,2400,41.87074,40.94094,18.5911388,15.483633,1.79513574,1.96632147,0.993852139,3.040638,4.42801332,4.87663746,61.8144836,6.98523569,-0.001351974,41.5654335,19.79835,14.2128878,51.3667641,30.88338,419.8032,682.6704,472.600983,82.0,75.0,297.152252,300.891479,69.90502,87.25698,96.0141,115.921211,109.083351,78.94341,31.4538956,67.0,67.0,51.94916,52.2551,50.0,52.25378,52.1589928,52.0,53.1654472,53.3279533,52.199173,77.0,78.0,82.0,80.0,81.0,81.0,84.0,86.0,83.0,86.0,63.15469,92.4110947,62.6779633,0.775147,1.3565073,2.48683429,5.71138144,64.36011,4.95197535,36.9362755,67.67057,31.3739548,41.4798164,27.1108475,16.8883953,14.514307,11.8694391,8.516968,9.65054,7.247705,10.5613785,0,31.7776623,32.0955048,0.02378715,31.7242661
normal,3000,41.1069031,41.0442963,18.11524,15.1142969,1.736279,1.90554988,0.9942266,2.983607,4.41389036,4.899507,61.8341255,6.994827,-0.001345622,41.70799,19.3511753,13.946826,50.56974,31.3331261,416.3386,675.148132,470.717468,82.0,75.0,296.437164,305.1288,69.8880844,86.82627,95.76666,115.350082,108.0849,78.74278,31.479187,68.0,68.0,51.1973572,51.54505,49.7972679,51.6034431,51.53109,51.0,52.53146,52.65102,52.0,77.0,78.0,81.0,80.0,81.0,81.0,84.0,85.0,83.0,85.0,63.1774254,91.74522,62.79778,0.775147,1.37615049,2.05752158,6.16543245,61.3151855,4.933198,36.3075371,68.0472946,32.07171,42.109333,26.5389652,16.2977314,15.2888489,12.3342628,8.352473,9.776409,7.286647,10.4167,0,32.1361732,32.5962944,0.024578242,32.21497
normal,3600,41.05577,41.0254,18.1220455,15.1463,1.74001849,1.91747093,0.9943022,2.99650478,4.41240454,4.936563,61.88869,6.991549,-0.001402986,41.6480026,19.3717861,14.0120792,49.59995,31.3186531,417.669861,677.5054,471.7241,82.0,75.0,297.6678,308.3588,69.8249741,86.73697,95.77208,115.379433,108.410011,78.6569061,31.4546757,68.0,68.0,51.0781555,51.45585,49.2015724,51.4150276,51.3567734,51.7984276,52.39187,52.4654465,52.0,77.0,78.0,82.0,80.0,81.0,81.0,84.0,86.0,83.0,85.0,62.5634232,91.41407,61.5420456,0.775147,1.3565073,1.9072901,6.014304,63.011898,4.756785,36.16038,68.05745,32.9246,42.5944061,25.8123188,15.5998335,15.0188551,12.266778,8.41019249,9.728019,7.4123435,10.5902939,0,31.7960911,32.3471069,0.03829718,31.8273144
normal,4200,41.5010338,40.9852867,18.3351231,15.30771,1.76597238,1.93925583,0.9941483,3.023546,4.37358236,4.987785,61.94503,6.98860645,-0.001429176,41.61102,19.5985031,14.1824083,49.69241,30.8606548,419.862762,682.7619,473.5713,82.0,75.0,298.452942,310.8839,69.86131,86.67979,95.81484,115.486748,108.387253,78.73039,31.505991,68.0,68.0,51.0044937,51.3032074,49.0,51.3444366,51.2798843,50.20327,52.3423729,52.41219,52.0,77.0,78.0,82.0,80.0,81.0,81.0,84.0,86.0,83.0,86.0,62.14109,91.56716,63.84424,0.775147,1.3565073,2.1813035,6.187354,64.32023,4.79624844,36.5296,68.39608,33.42901,43.4558868,25.1174564,15.1071033,14.9290514,12.3432655,8.526617,9.886292,7.569115,10.6196728,0,31.1630421,31.8068867,0.040723585,31.1967812
normal,4800,42.0931358,40.9903831,18.782362,15.6794462,1.81034219,1.98392522,0.9939229,3.08025813,4.40272,5.01834965,62.02271,6.974607,-0.001424118,41.61081,20.0539169,14.4269638,49.5195847,30.9774742,422.96814,689.563538,475.105957,83.0,75.0,300.26944,312.9101,69.91182,87.11875,96.00568,115.949265,108.833427,79.00884,31.17887,68.0,68.0,51.26956,51.6004,50.0,51.6047058,51.51854,51.0,52.54318,52.65921,52.0,78.0,78.0,82.0,80.0,82.0,81.0,84.0,86.0,83.0,86.0,61.8806953,92.7938461,63.36215,0.8527922,1.45340061,2.2739594,6.662894,72.19585,5.068869,36.79991,69.2206955,34.25246,44.1256371,24.21372,14.349844,14.33027,12.0824738,8.516993,9.737784,7.4123435,10.697094,0,30.02824,30.807291,0.05026386,30.1016331
normal,5400,42.8356133,40.9163,19.2401638,16.0336552,1.85456872,2.03033018,0.9934733,3.13541341,4.441484,5.00093746,62.040123,6.96495962,-0.001402125,41.5266724,20.4922581,14.6974287,49.61288,31.3556862,426.0221,697.2196,476.9674,83.0,75.0,302.7098,314.069153,70.01213,87.27387,96.29479,116.301613,109.356468,79.03865,31.21894,68.0,68.0,51.5964622,51.9558678,50.0,52.01242,51.9336662,51.19936,52.96224,53.00489,52.19936,78.0,78.0,82.0,81.0,82.0,82.0,84.0,86.0,84.0,86.0,61.7566452,93.81521,62.96764,0.8720404,1.45340061,1.81579721,7.463062,79.90837,5.14691353,37.0131149,68.80349,33.97063,43.9408379,23.5935383,13.7976475,13.78768,11.9856491,8.516958,9.728126,7.31545,10.8328962,0,29.2227516,30.07061,0.047370628,29.3654575
