role,offset_seconds,FIT-001AB_SOMA,FIT-304AB_SOMA,FIT_SOMAGAS,LIT-001A,LIT-001B,LIT-004,LIT-007A,LIT-007B,LIT-008,MIT-001,PDIT-009A,PDIT-009B,PDIT-012A,PDIT-012B,PDIT-054,PDIT-055,PDIT-056,PIT-037,PIT-038,TIT-010,TIT-034,TIT-035,TIT-036,TIT-040,TIT-041,TIT-042,TIT-043,TIT-044,TIT-045
normal,0,992.966064,26935.9336,5769606.905,30.632555,29.4432678,3.510487,15.496047,52.7282,45.31046,0.439960569,0.6774368,16.39046,8.449877,6.37023449,12.3182831,0.0,30.73848,7696.41064,7802.206,33.93506,34.23965,133.084579,34.0365257,33.480175,101.712456,33.57793,34.06553,141.906982,34.23594
normal,300,1000.05194,26935.9336,5769606.905,32.23075,30.7663689,5.66355848,15.4451313,52.75821,45.019062,0.427693546,0.7075577,16.4853973,8.540901,6.255086,12.3582983,0.0,30.8341,7698.203,7805.236,33.93506,34.28716,141.465881,34.0399437,33.5374527,102.35569,33.57793,34.06553,149.85585,34.2556648
normal,600,994.722839,26935.9336,5769606.905,31.9433174,29.8732929,7.7411356,15.4314022,52.5417747,45.4653778,0.43397522,0.7075577,16.5134182,8.507031,6.365358,12.3908281,0.0,30.9192352,7692.81445,7798.399,33.91983,34.28589,150.839142,34.0399437,33.5374527,102.414688,33.6000977,34.0401878,158.221191,34.2556648
normal,900,996.717468,26935.9336,5769606.905,31.5347977,29.7145271,10.736125,15.2936525,53.22498,44.809948,0.4334728,0.6893463,16.45939,8.404201,6.24245358,12.3295441,0.0,30.9225883,7693.062,7799.12354,33.91983,33.47407,158.47139,34.0540047,33.52124,104.390732,33.6000977,34.0401878,170.156448,34.2764664
normal,1200,990.890747,26935.9336,5769606.905,32.13735,30.1976147,14.65715,15.1768007,52.7755051,45.051815,0.4284973,0.6893463,16.5881729,8.572752,6.28110552,12.2828121,0.0,31.025404,7697.84,7804.914,33.8888664,34.3375,169.121613,34.0540047,33.52124,107.594185,33.53076,34.065773,177.079514,34.2764664
normal,1500,983.273865,26935.9336,5769606.905,31.1549759,30.1618462,21.20945,15.0462828,53.263916,44.510273,0.4396735,0.691185,16.5220757,8.591382,6.578489,12.5658693,0.0,31.1688919,7696.20752,7804.122,33.8774872,33.5092735,178.977158,34.05,33.4652824,112.1406,33.53076,34.065773,189.436264,34.15156
normal,1800,987.7182,26935.9336,5769606.905,32.8681374,29.2609959,32.1795235,15.1382322,52.9498138,44.8213844,0.435827523,0.691185,16.56666,8.439235,6.22141,12.0514565,0.0,30.8705,7693.886,7800.142,33.9588547,34.2483444,188.005569,34.05,33.4652824,117.277725,33.60088,34.19541,198.648453,34.15156
normal,2100,997.910461,26935.9336,5769606.905,31.53885,29.4440689,44.72681,15.3332367,53.1852722,44.9340744,0.4272586,0.72252655,16.4203682,8.43443,6.36302328,11.5012817,0.0,30.8415928,7688.43066,7793.337,33.9634857,33.6668968,197.885269,34.07925,33.57549,121.901505,33.60088,34.19541,208.98349,34.25664
normal,2400,996.366455,26935.9336,5769606.905,32.103672,30.5105553,29.3713379,15.46989,52.5888557,44.90022,0.433158875,0.72252655,16.27277,8.377477,6.250326,11.8631191,0.0,30.91258,7688.35352,7793.3125,34.083065,33.50952,207.98967,34.07925,33.57549,127.1582,33.6669922,34.1176758,218.004791,34.25664
normal,2700,994.2459,26935.9336,5769606.905,32.73248,29.70864,21.6771774,15.4718342,52.61762,45.04077,0.428377032,0.711524963,16.3786564,8.548292,6.32534552,12.1186113,0.0,31.0328369,7693.179,7800.405,34.08998,34.434864,216.294464,34.1200676,33.65879,135.435165,33.6669922,34.1176758,224.682358,34.3198738
normal,3000,992.7502,26935.9336,5769606.905,31.4803467,29.4358578,11.6938143,15.24049,53.40562,45.0498734,0.430030823,0.711524963,16.6767864,8.497759,6.409468,12.2268181,0.0,31.13537,7699.28662,7806.53271,34.0660248,33.49258,222.294327,34.1200676,33.65879,146.729477,33.64629,34.12168,229.589508,34.3198738
normal,3300,995.1337,26935.9336,5769606.905,30.7306747,29.6206856,-0.9656971,15.0969448,52.4751663,44.6871223,0.4302292,0.74458313,16.4981556,8.50722,6.386054,11.82309,0.0,31.1907,7696.588,7804.448,34.0660248,33.5976563,227.220154,34.12002,33.6540031,158.708649,33.64629,34.12168,231.334381,34.2839851
normal,3600,989.5785,26935.9336,5769606.905,33.2564621,30.59803,-1.07305825,15.42231,52.20526,45.04377,0.4329834,0.74458313,16.43956,8.445083,6.40088129,11.6215582,0.0,31.0094357,7687.287,7792.62451,34.08853,34.5313,228.146286,34.12002,33.6540031,169.881073,33.7647972,34.21128,232.097351,34.2839851
normal,3900,994.0392,26935.9336,5769606.905,32.1210556,30.38359,-0.600133955,15.303833,53.21799,45.5349236,0.431396484,0.7381363,16.3081837,8.474473,6.34782934,11.5698738,0.0,30.7373543,7688.446,7794.107,34.08983,34.5752945,228.9962,34.1936035,33.73135,179.961761,33.7647972,34.21128,232.141266,34.33198
normal,4200,988.3131,26935.9336,5769606.905,31.3148823,29.5582561,-1.01248276,15.3328238,52.5309372,44.96503,0.4330597,0.7381363,16.5990486,8.734791,6.37460852,12.0970659,0.0,31.1336823,7698.49951,7814.22949,34.06669,33.7561531,228.9962,34.1936035,33.73135,187.3373,33.78125,34.1773949,232.141266,34.33198
normal,4500,996.0526,26935.9336,5769606.905,28.6668739,29.0354786,-0.5958592,14.9896441,52.7351646,44.80946,0.4330597,0.7257004,16.5395718,8.634437,6.50867367,12.26103,0.0,31.4838333,7699.25537,7806.969,34.0654,33.7561531,229.558792,34.1944847,33.65884,193.376465,33.78125,34.1773949,232.4439,34.3819351
normal,4800,995.275635,26935.9336,5769606.905,32.0696526,29.4865665,-0.947970152,15.1720619,51.8792953,45.063427,0.430709839,0.7257004,16.259407,8.584563,6.298815,11.72205,0.0,30.9028931,7688.61865,7794.64453,34.0440178,34.0423851,229.558792,34.1944847,33.65884,198.690826,33.71416,34.1418953,232.571823,34.3819351
normal,5100,1000.02826,26935.9336,5769606.905,30.4501171,28.53201,-0.6643982,15.0428276,52.76892,44.4753876,0.430709839,0.7383423,16.3262768,8.55345,6.64095545,12.12018,0.0,31.355423,7697.28027,7787.348,34.0428,34.0423851,229.93013,34.1247063,33.69995,202.137,33.71416,34.1418953,232.5791,34.3625
normal,5400,991.2504,26935.9336,5769606.905,31.4374046,29.1353645,0.161480278,15.2167425,52.71998,44.18679,0.4316101,0.7383423,16.3099689,8.441074,6.37794828,12.2724028,0.0,31.1055527,7689.43457,7794.748,34.0314865,33.9707031,229.93013,34.1247063,33.69995,204.626083,33.62671,34.1301765,232.495621,34.3625
normal,5700,996.512939,26935.9336,5769606.905,34.5481758,31.0732231,-0.439391673,15.5491991,53.8418655,44.6875763,0.438163757,0.6955719,16.5305824,8.526004,6.38762951,12.3908014,0.0,31.1161823,7700.01,7806.65625,34.030838,33.9707031,229.984772,34.3786125,33.63926,207.17012,33.62671,34.1301765,232.490829,34.33203
