role,offset_seconds,LIT_802,LIT_806,PDIT_830,PIC_807_IN,TE_820,TE_830,TE_831,TE_832,TE_833,TE_834,TE_835,TIT_806,TIT_809,VT_812X,VT_812Y,VT_813X,VT_813Y,VT_814X,VT_814Y,VT_815X,VT_815Y,VT_830,VT_831,XT_829,ZT_827,ZT_828
normal,0.0,30.8777866,45.27133,2.98513627,0.204956084,31.9986572,35.9996338,35.9996338,35.9996338,35.9996338,34.9971,35.9996338,25.9475212,26.2070332,0.8658059,0.817530751,0.723288655,0.5813776,1.20853293,0.7736442,1.20853293,1.25888848,0.133468375,0.115182325,0.0,-0.2814011,-0.138696536
normal,300.0,30.9590378,45.25505,2.989251,0.2025628,31.9986572,36.99759,36.99759,36.99759,36.99759,34.9971,36.99759,25.9649944,26.20736,0.819422,0.7738182,0.723480046,0.581186235,1.25888848,0.7738182,1.208359,1.30449235,0.09704124,0.09711663,0.0,-0.282631457,-0.139927387
normal,600.0,31.0748978,45.68742,2.97774029,0.202513009,31.9986572,36.99759,36.99759,36.99759,36.99759,35.9996338,36.99759,25.99028,26.2218,0.819422,0.7737908,0.7736442,0.5310221,1.25872719,0.7736442,1.16275525,1.25888848,0.09708193,0.116031408,0.0,-0.28397432,-0.141208738
normal,900.0,30.72862,45.68742,2.97950554,0.196753919,32.9966125,37.9955444,37.9955444,37.9955444,37.9955444,35.9996338,36.99759,25.9975586,26.26513,0.819422,0.819194734,0.7736442,0.5310221,1.20878291,0.7736442,1.16275525,1.20878291,0.134949729,0.115970336,0.0,-0.284828365,-0.1429789
normal,1200.0,30.9291935,45.6865158,2.97697353,0.199660271,32.9966125,37.9955444,37.9955444,37.9955444,37.9955444,36.99759,37.9955444,26.0336952,26.2868061,0.869552553,0.819422,0.7736442,0.5310221,1.20875788,0.8192175,1.16275525,1.20853293,0.115885131,0.115885131,0.0,-0.285439879,-0.144504875
normal,1500.0,30.756258,45.254776,2.98166251,0.196772248,32.9966125,37.9955444,37.9955444,38.9980774,38.9980774,36.99759,37.9955444,26.048172,26.28688,0.819422,0.7737892,0.773484647,0.5310221,1.30466628,0.7234482,1.20838785,1.20869243,0.134983972,0.135044411,0.0,-0.286355019,-0.1460303
normal,1800.0,30.2951126,45.4550323,2.972306,0.202506676,33.9991455,38.9980774,38.9980774,38.9980774,38.9980774,37.9955444,38.9941368,26.06269,26.286932,0.7738242,0.6775109,0.7736442,0.5312201,0.7736442,0.723486662,1.20853293,1.25906849,0.154575467,0.17365253,0.0,-0.286782682,-0.146702468
normal,2100.0,30.7556877,45.6289864,2.97912574,0.19678776,33.9991455,38.9980774,38.9980774,38.9980774,38.9980774,37.9955444,38.9980774,26.0699081,26.2724075,0.773822665,0.677885652,0.723484933,0.5813776,0.919740438,0.7736442,1.16293371,1.20872927,0.116044693,0.134970054,0.0,-0.287270725,-0.14719075
normal,2400.0,30.3820648,45.68716,2.97262526,0.1967711,33.9991455,38.9980774,38.9980774,38.9980774,39.9960327,37.9955444,38.9980774,26.0662785,26.2435017,0.819422,0.723288655,0.7734947,0.53117156,0.8195715,0.7736442,1.20853293,1.20868242,0.116085835,0.116085835,0.0,-0.287575722,-0.14767909
normal,2700.0,30.4103146,45.22655,2.97266245,0.202527791,34.9971,39.9960327,39.9960327,39.9960327,39.9960327,38.9980774,38.9980774,26.069912,26.2073326,0.773850143,0.6775109,0.7734177,0.531248569,0.7734177,0.7734177,1.16296113,1.25888848,0.07749507,0.07749507,0.0,-0.2878808,-0.148045033
