config_num,exec_num,param_ARRAY_VAR,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_LIMITE_VAR,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_variables,best_fitness,best_gen_idx
1,5,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,20,1,10,0.25,50,"[1, 27, 1, 1, 7]",40.49047096288854,19
1,3,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,100,1,10,0.25,50,"[8, 2, 8, 8, 18]",41.61301147209003,99
1,4,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,20,1,10,0.25,50,"[15, 29, 15, 9, 21]",51.65845840858613,19
1,6,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,20,1,10,0.25,50,"[12, 24, 12, 1, 8]",51.02421332433351,19
2,5,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.8,20,1,10,0.25,50,"[24, 2, 24, 8, 15]",53.48536225359509,19
1,2,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,100,1,10,0.25,50,"[14, 24, 14, 14, 20]",49.13545004407987,99
2,6,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.8,20,1,10,0.25,50,"[20, 28, 20, 0, 7]",50.57577825945862,19
2,2,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.5,100,1,10,0.25,50,"[1, 7, 1, 1, 8]",40.49047096288852,99
2,7,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.8,20,1,10,0.25,50,"[6, 0, 6, 25, 1]",51.04032529934361,19
1,1,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,100,1,10,0.25,50,"[8, 0, 8, 8, 19]",41.61301147209003,99
1,7,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.9,20,1,10,0.25,50,"[11, 0, 11, 11, 5]",49.58388510895465,19
2,1,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.5,100,1,10,0.25,50,"[3, 30, 3, 3, 9]",40.49047096288854,99
2,4,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.8,20,1,10,0.25,50,"[13, 30, 13, 13, 9]",49.58388510895465,19
2,3,"[14, 15, 14, 18, 15]",0.9,2,5,"[0, 31]",0.5,100,1,10,0.25,50,"[23, 29, 23, 23, 13]",49.13545004407976,99
